task,sample_id,dataset,source_id,subject,difficulty,requested_budget_tokens,budget_tokens,estimated_prompt_tokens,seq_len,returncode,runner_returncode,runner_reported_returncode,adb_pull_returncode,device_connection_status,error,prompt_tokens,generated_tokens,model_load_ms,ttft_ms,prefill_latency_ms,decode_latency_ms,inference_ms,e2e_latency_ms,prefill_token_per_sec,decode_token_per_sec,seq_len_stop,qnn_shards_restored,output_chars,replacement_chars,energy_j,average_power_w,energy_per_token_j,edp_j_s,start_voltage_v,end_voltage_v,start_current_a,end_current_a,start_skin_temp_c,end_skin_temp_c,max_skin_temp_c,peak_rss_mb,peak_vmhwm_mb,memory_use_mb,telemetry_sample_count,power_sample_count,energy_measurement_status,signed_net_battery_energy_j,signed_average_battery_power_w,external_powered_start,external_powered_end,power_sources_start,power_sources_end,telemetry_path,output_path,log_path,predicted_answer,gold_answer,normalized_predicted_answer,normalized_gold_answer,answer_parse_method,score_method,score_correct
MATH500,math500_0014,MATH500,test/geometry/248.json,Geometry,2,256,256,214,470,0,0,0,0,,,214,255,5046,260,260,16918,17178,17178,823.077,15.0727,True,4,788,0,4.482190166517452,0.26092619434843706,0.017577216339284128,76.9950626804368,4.061020080321286,4.036455798864558,0.034349397590361444,0.08061313868613137,36.30006425702811,36.80579805352798,36.80579805352798,35.1484375,1004.26171875,1004.26171875,34,34,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0014/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0014/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0014/runner.log,5,5,5,5,last_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,True
MATH500,math500_0015,MATH500,test/precalculus/1303.json,Precalculus,1,256,256,151,407,0,0,0,0,,,151,255,1554,263,263,16952,17215,17215,574.144,15.0425,True,4,697,0,5.180795198991769,0.30094656979330636,0.02031684391761478,89.1873893506433,4.043957928802589,4.033913043478261,0.0865275080906149,0.1228695652173913,36.8629708737864,37.20017391304348,37.20017391304348,34.98046875,1004.03515625,1004.03515625,33,33,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0015/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0015/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0015/runner.log,4.9,\sqrt{51},4.9,\sqrt{51},last_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0016,MATH500,test/precalculus/990.json,Precalculus,5,256,256,217,473,0,0,0,0,,,217,255,4160,286,286,17042,17328,17328,758.741,14.963,True,4,656,0,5.316671160912532,0.30682543634075093,0.020849690827107966,92.12727787629234,4.061590802805924,4.078515840779854,0.035341387373343726,0.02291307879772543,36.90371940763834,37.24687896019496,37.24687896019496,35.1796875,1004.390625,1004.390625,34,34,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0016/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0016/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0016/runner.log,NA,6 - 5i,NA,6-5i,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0017,MATH500,test/intermediate_algebra/134.json,Intermediate Algebra,1,256,256,62,318,0,0,0,0,,,62,255,3814,131,131,16879,17010,17010,473.282,15.1075,True,4,641,0,3.894264508597848,0.2289397124396148,0.015271625523913129,66.2414392912494,4.033042914979757,4.068200333889816,0.08087125506072874,0.08376377295492489,36.83132469635627,37.297120200333886,37.297120200333886,34.921875,1004.1796875,1004.1796875,33,33,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0017/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0017/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0017/runner.log,NA,-50,NA,-50,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0018,MATH500,test/precalculus/1199.json,Precalculus,4,256,256,250,506,0,0,0,0,,,250,255,1789,261,261,16940,17201,17201,957.854,15.0531,True,4,777,0,3.9058461299040586,0.22707087552491473,0.015317043646682583,67.18445928047971,4.080150684931507,4.037593984962406,0.01882191780821918,0.09237844611528823,37.38535616438356,37.65345864661654,37.65345864661654,35.63671875,1004.4140625,1004.4140625,33,33,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0018/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0018/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0018/runner.log,NA,\pi,NA,\pi,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0019,MATH500,test/geometry/434.json,Geometry,1,256,256,189,445,0,0,0,0,,,189,255,1563,274,274,16956,17230,17230,689.781,15.0389,True,4,822,0,4.311956458146357,0.25025864527837244,0.0169096331692014,74.29500977386172,4.0427885985748215,4.079355608591886,0.0818590657165479,0.03895942720763722,37.721368171021375,37.915727923627685,37.915727923627685,35.08984375,1004.32421875,1004.32421875,33,33,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0019/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0019/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0019/runner.log,NA,28,NA,28,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0020,MATH500,test/intermediate_algebra/1000.json,Intermediate Algebra,3,256,256,86,342,0,0,0,0,,,86,255,1618,137,137,16959,17096,17096,627.737,15.0363,True,4,630,0,3.6290402990805832,0.21227423368510664,0.014231530584629738,62.04207295308165,4.05316129032258,4.05137037037037,0.07195483870967742,0.01989694041867955,37.928,38.09414492753623,38.09414492753623,35.3203125,1004.39453125,1004.39453125,33,33,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0020/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0020/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0020/runner.log,NA,3,NA,3,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0021,MATH500,test/algebra/1098.json,Algebra,3,256,256,51,307,0,0,0,0,,,51,255,1594,137,137,16972,17109,17109,372.263,15.0247,True,4,727,0,4.897471045001925,0.2862511569935078,0.01920576880392912,83.79083210893795,4.038871279163314,4.036817434210526,0.09419871279163314,0.0830921052631579,38.04840064360418,38.199726973684214,38.199726973684214,35.171875,1004.1875,1004.1875,32,32,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0021/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0021/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0021/runner.log,6+9i,6+9i,6+9i,6+9i,last_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,True
MATH500,math500_0022,MATH500,test/intermediate_algebra/607.json,Intermediate Algebra,3,256,256,68,324,0,0,0,0,,,68,255,1677,132,132,16991,17123,17123,515.152,15.0079,True,4,532,0,4.6951880603500555,0.2742035893447442,0.0184125021974512,80.39570515737401,4.022271158586689,4.064044907778669,0.1169811010682005,0.02103849238171612,38.27,38.39903849238172,38.39903849238172,35.3671875,1004.36328125,1004.36328125,33,33,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0022/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0022/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0022/runner.log,NA,13535,NA,13535,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0023,MATH500,test/algebra/1837.json,Algebra,5,256,256,166,422,0,0,0,0,,,166,255,5016,258,258,17007,17265,17265,643.411,14.9938,True,4,849,0,4.746275745195889,0.2749073701242913,0.01861284605959172,81.94445074080703,4.036331174089069,4.080155537459283,0.04308906882591093,0.013264657980456026,37.72869311740891,38.22262622149837,38.22262622149837,34.85546875,1004.078125,1004.078125,34,34,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0023/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0023/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0023/runner.log,NA,5,NA,5,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0024,MATH500,test/algebra/2193.json,Algebra,5,256,256,67,323,0,0,0,0,,,67,255,1517,137,137,16953,17090,17090,489.051,15.0416,True,4,680,0,4.498899948473791,0.26324751015060216,0.01764274489597565,76.88620011941708,4.055845653939886,4.065225232853514,0.02140536149471974,0.02196274343776461,38.282,38.528,38.528,35.05859375,1004.02734375,1004.02734375,32,32,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0024/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0024/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0024/runner.log,NA,x=5,NA,x=5,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0025,MATH500,test/algebra/2427.json,Algebra,5,256,256,142,398,0,0,0,0,,,142,255,4230,272,272,17106,17378,17378,522.059,14.9071,True,4,985,0,4.851404237472673,0.2791693081754329,0.01902511465675558,84.30770283880011,4.016412881355932,4.081059665871122,0.11652745762711864,0.010843277645186953,38.42606440677966,38.55495147175815,38.55495147175815,35.23828125,1004.3984375,1004.3984375,34,34,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0025/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0025/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0025/runner.log,NA,10,NA,10,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0026,MATH500,test/intermediate_algebra/1388.json,Intermediate Algebra,5,256,256,118,374,0,0,0,0,,,118,255,5243,138,138,17013,17151,17151,855.072,14.9885,True,4,616,0,5.110883949086625,0.2979933501887135,0.02004268215328088,87.6567706107847,4.03241344667697,4.038070707070707,0.09007187017001546,0.09507070707070707,38.0627171561051,38.509424242424245,38.509424242424245,35.41796875,1004.265625,1004.265625,33,33,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0026/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0026/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0026/runner.log,NA,"1,-2",NA,"1,-2",missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0027,MATH500,test/counting_and_probability/525.json,Counting & Probability,5,256,256,91,347,0,0,0,0,,,91,135,1536,136,136,9025,9161,9161,669.118,14.9584,False,4,476,0,1.769617097142371,0.19316855115624618,0.013108274793647193,16.21146222692126,4.037550970873786,4.031705882352941,0.05614724919093851,0.09575,38.60535922330097,38.684176470588234,38.684176470588234,35.41015625,1004.2890625,1004.2890625,20,20,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0027/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0027/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0027/runner.log,NA,144,NA,144,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0028,MATH500,test/prealgebra/1840.json,Prealgebra,2,256,256,120,376,0,0,0,0,,,120,255,1639,140,140,17080,17220,17220,857.143,14.9297,True,4,888,0,5.247665021131168,0.3047424518659215,0.020579078514239877,90.36479166387872,4.04038024691358,4.034030508474576,0.02025185185185185,0.07453728813559322,38.57338271604938,38.8443186440678,38.8443186440678,35.453125,1004.30078125,1004.30078125,33,33,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0028/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0028/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0028/runner.log,NA,78,NA,78,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
