run_id,timestamp_start,timestamp_end,assignee,task_group,device_id,runtime,model,quantization,backend,performance_mode,htp_performance_mode,htp_performance_mode_name,strategy,dataset,sample_id,repeat_id,prompt_tokens,target_output_tokens,actual_output_tokens,ttft_ms,decode_latency_ms,tpot_ms,e2e_latency_ms,energy_batch_id,energy_j,start_temp_c,end_temp_c,start_npu_temp_c,end_npu_temp_c,thermal_status,task_success,deadline_ms,progress_satisfied,error_type,notes,action_text,action_name,action_arguments,gold_action,gold_arguments,action_valid,action_correct,action_schema_error,time_to_valid_action_ms,invalid_action_rate,valid_under_deadline,correct_under_deadline,action_budget_tokens
w3v2_004_always_max_b96_r1_d5000,2026-07-19T20:40:01+08:00,2026-07-19T20:40:05+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq725_budget96_temp0.0,tiny_schema_v2,w3v2_004,1,629,96,24,595,988,41.167,1583,W3_action_always_max_b96_79d839fe87,NA,33.009,34.286,48.0,52.6,0,true,5000,true,none,"physical_run_id=w3v2_004_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""""","{""action"":""search_web"",""arguments"":{""query"":""battery health tips"",""result_limit"":5,""safe_search"":true}}",search_web,"{""query"": ""battery health tips"", ""result_limit"": 5, ""safe_search"": true}",search_web,"{""query"": ""battery health tips"", ""result_limit"": 5, ""safe_search"": true}",true,true,false,1536.0,0.0,true,true,96
w3v2_004_always_max_b96_r1_d10000,2026-07-19T20:40:01+08:00,2026-07-19T20:40:05+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq725_budget96_temp0.0,tiny_schema_v2,w3v2_004,1,629,96,24,595,988,41.167,1583,W3_action_always_max_b96_79d839fe87,NA,33.009,34.286,48.0,52.6,0,true,10000,true,none,"physical_run_id=w3v2_004_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""""","{""action"":""search_web"",""arguments"":{""query"":""battery health tips"",""result_limit"":5,""safe_search"":true}}",search_web,"{""query"": ""battery health tips"", ""result_limit"": 5, ""safe_search"": true}",search_web,"{""query"": ""battery health tips"", ""result_limit"": 5, ""safe_search"": true}",true,true,false,1536.0,0.0,true,true,96
w3v2_005_always_max_b96_r1_d2000,2026-07-19T20:40:05+08:00,2026-07-19T20:40:07+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq721_budget96_temp0.0,tiny_schema_v2,w3v2_005,1,625,96,18,606,724,40.222,1330,W3_action_always_max_b96_79d839fe87,NA,34.297,35.231,51.9,53.4,0,true,2000,true,none,"physical_run_id=w3v2_005_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""""","{""action"":""search_contacts"",""arguments"":{""favorites_only"":false,""name"":""Alice Chen""}}",search_contacts,"{""favorites_only"": false, ""name"": ""Alice Chen""}",search_contacts,"{""favorites_only"": false, ""name"": ""Alice Chen""}",true,true,false,1288.0,0.0,true,true,96
w3v2_005_always_max_b96_r1_d5000,2026-07-19T20:40:05+08:00,2026-07-19T20:40:07+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq721_budget96_temp0.0,tiny_schema_v2,w3v2_005,1,625,96,18,606,724,40.222,1330,W3_action_always_max_b96_79d839fe87,NA,34.297,35.231,51.9,53.4,0,true,5000,true,none,"physical_run_id=w3v2_005_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""""","{""action"":""search_contacts"",""arguments"":{""favorites_only"":false,""name"":""Alice Chen""}}",search_contacts,"{""favorites_only"": false, ""name"": ""Alice Chen""}",search_contacts,"{""favorites_only"": false, ""name"": ""Alice Chen""}",true,true,false,1288.0,0.0,true,true,96
w3v2_005_always_max_b96_r1_d10000,2026-07-19T20:40:05+08:00,2026-07-19T20:40:07+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq721_budget96_temp0.0,tiny_schema_v2,w3v2_005,1,625,96,18,606,724,40.222,1330,W3_action_always_max_b96_79d839fe87,NA,34.297,35.231,51.9,53.4,0,true,10000,true,none,"physical_run_id=w3v2_005_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""""","{""action"":""search_contacts"",""arguments"":{""favorites_only"":false,""name"":""Alice Chen""}}",search_contacts,"{""favorites_only"": false, ""name"": ""Alice Chen""}",search_contacts,"{""favorites_only"": false, ""name"": ""Alice Chen""}",true,true,false,1288.0,0.0,true,true,96
w3v2_006_always_max_b96_r1_d2000,2026-07-19T20:40:07+08:00,2026-07-19T20:40:11+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq721_budget96_temp0.0,tiny_schema_v2,w3v2_006,1,625,96,42,613,1692,40.286,2305,W3_action_always_max_b96_79d839fe87,NA,35.214,36.082,52.3,55.3,0,false,2000,false,wrong_action_type,"physical_run_id=w3v2_006_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""expected action=search_calendar, got=set_alarm""","{""action"":""set_alarm"",""arguments"":{""label"":""Reminder"",""time"":""Mon-Fri 08:00"",""repeat_days"":[""Mon"",""Tue"",""Wed"",""Thu"",""Fri""],""vibrate"":false}}",set_alarm,"{""label"": ""Reminder"", ""repeat_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""], ""time"": ""Mon-Fri 08:00"", ""vibrate"": false}",search_calendar,"{""days_ahead"": 14, ""keyword"": ""Project review""}",true,false,false,2261.0,0.0,false,false,96
w3v2_006_always_max_b96_r1_d5000,2026-07-19T20:40:07+08:00,2026-07-19T20:40:11+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq721_budget96_temp0.0,tiny_schema_v2,w3v2_006,1,625,96,42,613,1692,40.286,2305,W3_action_always_max_b96_79d839fe87,NA,35.214,36.082,52.3,55.3,0,false,5000,false,wrong_action_type,"physical_run_id=w3v2_006_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""expected action=search_calendar, got=set_alarm""","{""action"":""set_alarm"",""arguments"":{""label"":""Reminder"",""time"":""Mon-Fri 08:00"",""repeat_days"":[""Mon"",""Tue"",""Wed"",""Thu"",""Fri""],""vibrate"":false}}",set_alarm,"{""label"": ""Reminder"", ""repeat_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""], ""time"": ""Mon-Fri 08:00"", ""vibrate"": false}",search_calendar,"{""days_ahead"": 14, ""keyword"": ""Project review""}",true,false,false,2261.0,0.0,true,false,96
w3v2_006_always_max_b96_r1_d10000,2026-07-19T20:40:07+08:00,2026-07-19T20:40:11+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq721_budget96_temp0.0,tiny_schema_v2,w3v2_006,1,625,96,42,613,1692,40.286,2305,W3_action_always_max_b96_79d839fe87,NA,35.214,36.082,52.3,55.3,0,false,10000,false,wrong_action_type,"physical_run_id=w3v2_006_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""expected action=search_calendar, got=set_alarm""","{""action"":""set_alarm"",""arguments"":{""label"":""Reminder"",""time"":""Mon-Fri 08:00"",""repeat_days"":[""Mon"",""Tue"",""Wed"",""Thu"",""Fri""],""vibrate"":false}}",set_alarm,"{""label"": ""Reminder"", ""repeat_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""], ""time"": ""Mon-Fri 08:00"", ""vibrate"": false}",search_calendar,"{""days_ahead"": 14, ""keyword"": ""Project review""}",true,false,false,2261.0,0.0,true,false,96
w3v2_007_always_max_b96_r1_d2000,2026-07-19T20:40:11+08:00,2026-07-19T20:40:14+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq728_budget96_temp0.0,tiny_schema_v2,w3v2_007,1,632,96,24,619,987,41.125,1606,W3_action_always_max_b96_79d839fe87,NA,36.094,36.937,54.6,55.7,0,false,2000,false,wrong_argument,"physical_run_id=w3v2_007_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""argument 'safe_search' must have type boolean""","{""action"":""search_web"",""arguments"":{""query"":""Alice Chen biography"",""result_limit"":3,""safe_search"":""off""}}",search_web,"{""query"": ""Alice Chen biography"", ""result_limit"": 3, ""safe_search"": ""off""}",search_web,"{""query"": ""Alice Chen biography"", ""result_limit"": 3, ""safe_search"": false}",false,false,false,NA,1.0,false,false,96
w3v2_007_always_max_b96_r1_d5000,2026-07-19T20:40:11+08:00,2026-07-19T20:40:14+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq728_budget96_temp0.0,tiny_schema_v2,w3v2_007,1,632,96,24,619,987,41.125,1606,W3_action_always_max_b96_79d839fe87,NA,36.094,36.937,54.6,55.7,0,false,5000,false,wrong_argument,"physical_run_id=w3v2_007_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""argument 'safe_search' must have type boolean""","{""action"":""search_web"",""arguments"":{""query"":""Alice Chen biography"",""result_limit"":3,""safe_search"":""off""}}",search_web,"{""query"": ""Alice Chen biography"", ""result_limit"": 3, ""safe_search"": ""off""}",search_web,"{""query"": ""Alice Chen biography"", ""result_limit"": 3, ""safe_search"": false}",false,false,false,NA,1.0,false,false,96
w3v2_007_always_max_b96_r1_d10000,2026-07-19T20:40:11+08:00,2026-07-19T20:40:14+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq728_budget96_temp0.0,tiny_schema_v2,w3v2_007,1,632,96,24,619,987,41.125,1606,W3_action_always_max_b96_79d839fe87,NA,36.094,36.937,54.6,55.7,0,false,10000,false,wrong_argument,"physical_run_id=w3v2_007_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""argument 'safe_search' must have type boolean""","{""action"":""search_web"",""arguments"":{""query"":""Alice Chen biography"",""result_limit"":3,""safe_search"":""off""}}",search_web,"{""query"": ""Alice Chen biography"", ""result_limit"": 3, ""safe_search"": ""off""}",search_web,"{""query"": ""Alice Chen biography"", ""result_limit"": 3, ""safe_search"": false}",false,false,false,NA,1.0,false,false,96
w3v2_008_always_max_b96_r1_d2000,2026-07-19T20:40:14+08:00,2026-07-19T20:40:18+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq726_budget96_temp0.0,tiny_schema_v2,w3v2_008,1,630,96,18,611,733,40.722,1344,W3_action_always_max_b96_79d839fe87,NA,36.943,37.55,54.9,56.1,0,false,2000,false,wrong_argument,"physical_run_id=w3v2_008_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""argument 'favorites_only' must have type boolean""","{""action"":""search_contacts"",""arguments"":{""favorites_only"":""true"",""name"":""Robert Wang""}}",search_contacts,"{""favorites_only"": ""true"", ""name"": ""Robert Wang""}",search_contacts,"{""favorites_only"": true, ""name"": ""Robert Wang""}",false,false,false,NA,1.0,false,false,96
w3v2_008_always_max_b96_r1_d5000,2026-07-19T20:40:14+08:00,2026-07-19T20:40:18+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq726_budget96_temp0.0,tiny_schema_v2,w3v2_008,1,630,96,18,611,733,40.722,1344,W3_action_always_max_b96_79d839fe87,NA,36.943,37.55,54.9,56.1,0,false,5000,false,wrong_argument,"physical_run_id=w3v2_008_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""argument 'favorites_only' must have type boolean""","{""action"":""search_contacts"",""arguments"":{""favorites_only"":""true"",""name"":""Robert Wang""}}",search_contacts,"{""favorites_only"": ""true"", ""name"": ""Robert Wang""}",search_contacts,"{""favorites_only"": true, ""name"": ""Robert Wang""}",false,false,false,NA,1.0,false,false,96
w3v2_008_always_max_b96_r1_d10000,2026-07-19T20:40:14+08:00,2026-07-19T20:40:18+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq726_budget96_temp0.0,tiny_schema_v2,w3v2_008,1,630,96,18,611,733,40.722,1344,W3_action_always_max_b96_79d839fe87,NA,36.943,37.55,54.9,56.1,0,false,10000,false,wrong_argument,"physical_run_id=w3v2_008_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""argument 'favorites_only' must have type boolean""","{""action"":""search_contacts"",""arguments"":{""favorites_only"":""true"",""name"":""Robert Wang""}}",search_contacts,"{""favorites_only"": ""true"", ""name"": ""Robert Wang""}",search_contacts,"{""favorites_only"": true, ""name"": ""Robert Wang""}",false,false,false,NA,1.0,false,false,96
w3v2_009_always_max_b96_r1_d2000,2026-07-19T20:40:18+08:00,2026-07-19T20:40:21+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq729_budget96_temp0.0,tiny_schema_v2,w3v2_009,1,633,96,20,607,807,40.35,1414,W3_action_always_max_b96_79d839fe87,NA,37.544,37.978,55.7,56.5,0,false,2000,false,wrong_argument,"physical_run_id=w3v2_009_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""argument 'days_ahead' must have type integer""","{""action"":""search_calendar"",""arguments"":{""days_ahead"":""30"",""keyword"":""dentist""}}",search_calendar,"{""days_ahead"": ""30"", ""keyword"": ""dentist""}",search_calendar,"{""days_ahead"": 30, ""keyword"": ""dentist""}",false,false,false,NA,1.0,false,false,96
w3v2_009_always_max_b96_r1_d5000,2026-07-19T20:40:18+08:00,2026-07-19T20:40:21+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq729_budget96_temp0.0,tiny_schema_v2,w3v2_009,1,633,96,20,607,807,40.35,1414,W3_action_always_max_b96_79d839fe87,NA,37.544,37.978,55.7,56.5,0,false,5000,false,wrong_argument,"physical_run_id=w3v2_009_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""argument 'days_ahead' must have type integer""","{""action"":""search_calendar"",""arguments"":{""days_ahead"":""30"",""keyword"":""dentist""}}",search_calendar,"{""days_ahead"": ""30"", ""keyword"": ""dentist""}",search_calendar,"{""days_ahead"": 30, ""keyword"": ""dentist""}",false,false,false,NA,1.0,false,false,96
w3v2_009_always_max_b96_r1_d10000,2026-07-19T20:40:18+08:00,2026-07-19T20:40:21+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq729_budget96_temp0.0,tiny_schema_v2,w3v2_009,1,633,96,20,607,807,40.35,1414,W3_action_always_max_b96_79d839fe87,NA,37.544,37.978,55.7,56.5,0,false,10000,false,wrong_argument,"physical_run_id=w3v2_009_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""argument 'days_ahead' must have type integer""","{""action"":""search_calendar"",""arguments"":{""days_ahead"":""30"",""keyword"":""dentist""}}",search_calendar,"{""days_ahead"": ""30"", ""keyword"": ""dentist""}",search_calendar,"{""days_ahead"": 30, ""keyword"": ""dentist""}",false,false,false,NA,1.0,false,false,96
w3v2_010_always_max_b96_r1_d2000,2026-07-19T20:40:21+08:00,2026-07-19T20:40:24+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq728_budget96_temp0.0,tiny_schema_v2,w3v2_010,1,632,96,25,604,1043,41.72,1647,W3_action_always_max_b96_79d839fe87,NA,37.984,38.442,55.7,56.5,0,true,2000,true,none,"physical_run_id=w3v2_010_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""""","{""action"":""search_app_store"",""arguments"":{""app_query"":""photo editor"",""max_results"":6,""free_only"":true}}",search_app_store,"{""app_query"": ""photo editor"", ""free_only"": true, ""max_results"": 6}",search_app_store,"{""app_query"": ""photo editor"", ""free_only"": true, ""max_results"": 6}",true,true,false,1601.0,0.0,true,true,96
w3v2_010_always_max_b96_r1_d5000,2026-07-19T20:40:21+08:00,2026-07-19T20:40:24+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq728_budget96_temp0.0,tiny_schema_v2,w3v2_010,1,632,96,25,604,1043,41.72,1647,W3_action_always_max_b96_79d839fe87,NA,37.984,38.442,55.7,56.5,0,true,5000,true,none,"physical_run_id=w3v2_010_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""""","{""action"":""search_app_store"",""arguments"":{""app_query"":""photo editor"",""max_results"":6,""free_only"":true}}",search_app_store,"{""app_query"": ""photo editor"", ""free_only"": true, ""max_results"": 6}",search_app_store,"{""app_query"": ""photo editor"", ""free_only"": true, ""max_results"": 6}",true,true,false,1601.0,0.0,true,true,96
