run_id,timestamp_start,timestamp_end,assignee,task_group,device_id,runtime,model,quantization,backend,performance_mode,htp_performance_mode,htp_performance_mode_name,strategy,dataset,sample_id,repeat_id,prompt_tokens,target_output_tokens,actual_output_tokens,ttft_ms,decode_latency_ms,tpot_ms,e2e_latency_ms,energy_batch_id,energy_j,start_temp_c,end_temp_c,start_npu_temp_c,end_npu_temp_c,thermal_status,task_success,deadline_ms,progress_satisfied,error_type,notes,answer,gold_answer,answer_correct,correct_under_deadline,reasoning_budget_tokens,output_truncated,energy_per_correct_answer_j
w2_003_always_max_b128_r1_d20000,2026-07-19T12:36:27+08:00,2026-07-19T12:36:33+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq260_budget128_temp0.0,gsm8k,w2_003,1,132,128,87,244,3663,42.103,3907,W2_reasoning_always_max_b128_ee97b216b9,NA,36.016,37.562,56.1,57.3,0,false,20000,false,wrong_answer,,81,87,false,false,128,false,NA
w2_003_always_max_b128_r1_d30000,2026-07-19T12:36:27+08:00,2026-07-19T12:36:33+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq260_budget128_temp0.0,gsm8k,w2_003,1,132,128,87,244,3663,42.103,3907,W2_reasoning_always_max_b128_ee97b216b9,NA,36.016,37.562,56.1,57.3,0,false,30000,false,wrong_answer,,81,87,false,false,128,false,NA
w2_004_always_max_b128_r1_d5000,2026-07-19T12:36:33+08:00,2026-07-19T12:36:40+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq253_budget128_temp0.0,gsm8k,w2_004,1,125,128,127,126,5328,41.953,5454,W2_reasoning_always_max_b128_ee97b216b9,NA,37.58,39.057,56.5,59.6,0,false,5000,false,parse_error,,NA,34,false,false,128,true,NA
w2_004_always_max_b128_r1_d10000,2026-07-19T12:36:33+08:00,2026-07-19T12:36:40+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq253_budget128_temp0.0,gsm8k,w2_004,1,125,128,127,126,5328,41.953,5454,W2_reasoning_always_max_b128_ee97b216b9,NA,37.58,39.057,56.5,59.6,0,false,10000,false,parse_error,,NA,34,false,false,128,true,NA
w2_004_always_max_b128_r1_d20000,2026-07-19T12:36:33+08:00,2026-07-19T12:36:40+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq253_budget128_temp0.0,gsm8k,w2_004,1,125,128,127,126,5328,41.953,5454,W2_reasoning_always_max_b128_ee97b216b9,NA,37.58,39.057,56.5,59.6,0,false,20000,false,parse_error,,NA,34,false,false,128,true,NA
w2_004_always_max_b128_r1_d30000,2026-07-19T12:36:33+08:00,2026-07-19T12:36:40+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq253_budget128_temp0.0,gsm8k,w2_004,1,125,128,127,126,5328,41.953,5454,W2_reasoning_always_max_b128_ee97b216b9,NA,37.58,39.057,56.5,59.6,0,false,30000,false,parse_error,,NA,34,false,false,128,true,NA
w2_005_always_max_b128_r1_d5000,2026-07-19T12:36:40+08:00,2026-07-19T12:36:47+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq265_budget128_temp0.0,gsm8k,w2_005,1,137,128,127,250,5381,42.37,5631,W2_reasoning_always_max_b128_ee97b216b9,NA,39.038,40.445,58.8,61.1,0,false,5000,false,parse_error,,NA,15,false,false,128,true,NA
w2_005_always_max_b128_r1_d10000,2026-07-19T12:36:40+08:00,2026-07-19T12:36:47+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq265_budget128_temp0.0,gsm8k,w2_005,1,137,128,127,250,5381,42.37,5631,W2_reasoning_always_max_b128_ee97b216b9,NA,39.038,40.445,58.8,61.1,0,false,10000,false,parse_error,,NA,15,false,false,128,true,NA
w2_005_always_max_b128_r1_d20000,2026-07-19T12:36:40+08:00,2026-07-19T12:36:47+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq265_budget128_temp0.0,gsm8k,w2_005,1,137,128,127,250,5381,42.37,5631,W2_reasoning_always_max_b128_ee97b216b9,NA,39.038,40.445,58.8,61.1,0,false,20000,false,parse_error,,NA,15,false,false,128,true,NA
w2_005_always_max_b128_r1_d30000,2026-07-19T12:36:40+08:00,2026-07-19T12:36:47+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq265_budget128_temp0.0,gsm8k,w2_005,1,137,128,127,250,5381,42.37,5631,W2_reasoning_always_max_b128_ee97b216b9,NA,39.038,40.445,58.8,61.1,0,false,30000,false,parse_error,,NA,15,false,false,128,true,NA
w2_006_always_max_b128_r1_d5000,2026-07-19T12:36:47+08:00,2026-07-19T12:36:54+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq263_budget128_temp0.0,gsm8k,w2_006,1,135,128,127,252,5282,41.591,5534,W2_reasoning_always_max_b128_ee97b216b9,NA,40.451,41.378,60.3,62.3,0,false,5000,false,parse_error,,NA,770,false,false,128,true,NA
w2_006_always_max_b128_r1_d10000,2026-07-19T12:36:47+08:00,2026-07-19T12:36:54+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq263_budget128_temp0.0,gsm8k,w2_006,1,135,128,127,252,5282,41.591,5534,W2_reasoning_always_max_b128_ee97b216b9,NA,40.451,41.378,60.3,62.3,0,false,10000,false,parse_error,,NA,770,false,false,128,true,NA
w2_006_always_max_b128_r1_d20000,2026-07-19T12:36:47+08:00,2026-07-19T12:36:54+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq263_budget128_temp0.0,gsm8k,w2_006,1,135,128,127,252,5282,41.591,5534,W2_reasoning_always_max_b128_ee97b216b9,NA,40.451,41.378,60.3,62.3,0,false,20000,false,parse_error,,NA,770,false,false,128,true,NA
w2_006_always_max_b128_r1_d30000,2026-07-19T12:36:47+08:00,2026-07-19T12:36:54+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq263_budget128_temp0.0,gsm8k,w2_006,1,135,128,127,252,5282,41.591,5534,W2_reasoning_always_max_b128_ee97b216b9,NA,40.451,41.378,60.3,62.3,0,false,30000,false,parse_error,,NA,770,false,false,128,true,NA
w2_007_always_max_b128_r1_d5000,2026-07-19T12:36:55+08:00,2026-07-19T12:37:00+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq251_budget128_temp0.0,gsm8k,w2_007,1,123,128,76,130,3181,41.855,3311,W2_reasoning_always_max_b128_ee97b216b9,NA,41.391,41.87,61.5,61.9,0,true,5000,true,none,,28,28,true,true,128,false,NA
w2_007_always_max_b128_r1_d10000,2026-07-19T12:36:55+08:00,2026-07-19T12:37:00+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq251_budget128_temp0.0,gsm8k,w2_007,1,123,128,76,130,3181,41.855,3311,W2_reasoning_always_max_b128_ee97b216b9,NA,41.391,41.87,61.5,61.9,0,true,10000,true,none,,28,28,true,true,128,false,NA
w2_007_always_max_b128_r1_d20000,2026-07-19T12:36:55+08:00,2026-07-19T12:37:00+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq251_budget128_temp0.0,gsm8k,w2_007,1,123,128,76,130,3181,41.855,3311,W2_reasoning_always_max_b128_ee97b216b9,NA,41.391,41.87,61.5,61.9,0,true,20000,true,none,,28,28,true,true,128,false,NA
w2_007_always_max_b128_r1_d30000,2026-07-19T12:36:55+08:00,2026-07-19T12:37:00+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq251_budget128_temp0.0,gsm8k,w2_007,1,123,128,76,130,3181,41.855,3311,W2_reasoning_always_max_b128_ee97b216b9,NA,41.391,41.87,61.5,61.9,0,true,30000,true,none,,28,28,true,true,128,false,NA
w2_008_always_max_b128_r1_d5000,2026-07-19T12:37:00+08:00,2026-07-19T12:37:07+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq260_budget128_temp0.0,gsm8k,w2_008,1,132,128,127,255,5325,41.929,5580,W2_reasoning_always_max_b128_ee97b216b9,NA,41.883,42.487,61.1,62.6,0,false,5000,false,parse_error,,NA,50,false,false,128,true,NA
w2_008_always_max_b128_r1_d10000,2026-07-19T12:37:00+08:00,2026-07-19T12:37:07+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq260_budget128_temp0.0,gsm8k,w2_008,1,132,128,127,255,5325,41.929,5580,W2_reasoning_always_max_b128_ee97b216b9,NA,41.883,42.487,61.1,62.6,0,false,10000,false,parse_error,,NA,50,false,false,128,true,NA
w2_008_always_max_b128_r1_d20000,2026-07-19T12:37:00+08:00,2026-07-19T12:37:07+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq260_budget128_temp0.0,gsm8k,w2_008,1,132,128,127,255,5325,41.929,5580,W2_reasoning_always_max_b128_ee97b216b9,NA,41.883,42.487,61.1,62.6,0,false,20000,false,parse_error,,NA,50,false,false,128,true,NA
w2_008_always_max_b128_r1_d30000,2026-07-19T12:37:00+08:00,2026-07-19T12:37:07+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq260_budget128_temp0.0,gsm8k,w2_008,1,132,128,127,255,5325,41.929,5580,W2_reasoning_always_max_b128_ee97b216b9,NA,41.883,42.487,61.1,62.6,0,false,30000,false,parse_error,,NA,50,false,false,128,true,NA
w2_009_always_max_b128_r1_d5000,2026-07-19T12:37:07+08:00,2026-07-19T12:37:13+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq248_budget128_temp0.0,gsm8k,w2_009,1,120,128,99,130,4210,42.525,4340,W2_reasoning_always_max_b128_ee97b216b9,NA,42.5,42.949,61.9,62.3,0,true,5000,true,none,,70,70,true,true,128,false,NA
w2_009_always_max_b128_r1_d10000,2026-07-19T12:37:07+08:00,2026-07-19T12:37:13+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq248_budget128_temp0.0,gsm8k,w2_009,1,120,128,99,130,4210,42.525,4340,W2_reasoning_always_max_b128_ee97b216b9,NA,42.5,42.949,61.9,62.3,0,true,10000,true,none,,70,70,true,true,128,false,NA
w2_009_always_max_b128_r1_d20000,2026-07-19T12:37:07+08:00,2026-07-19T12:37:13+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq248_budget128_temp0.0,gsm8k,w2_009,1,120,128,99,130,4210,42.525,4340,W2_reasoning_always_max_b128_ee97b216b9,NA,42.5,42.949,61.9,62.3,0,true,20000,true,none,,70,70,true,true,128,false,NA
w2_009_always_max_b128_r1_d30000,2026-07-19T12:37:07+08:00,2026-07-19T12:37:13+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq248_budget128_temp0.0,gsm8k,w2_009,1,120,128,99,130,4210,42.525,4340,W2_reasoning_always_max_b128_ee97b216b9,NA,42.5,42.949,61.9,62.3,0,true,30000,true,none,,70,70,true,true,128,false,NA
w2_010_always_max_b128_r1_d5000,2026-07-19T12:37:13+08:00,2026-07-19T12:37:20+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq249_budget128_temp0.0,gsm8k,w2_010,1,121,128,127,120,5365,42.244,5485,W2_reasoning_always_max_b128_ee97b216b9,NA,42.962,43.377,61.1,63.8,0,false,5000,false,deadline_miss,,100,100,true,false,128,false,NA
w2_010_always_max_b128_r1_d10000,2026-07-19T12:37:13+08:00,2026-07-19T12:37:20+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq249_budget128_temp0.0,gsm8k,w2_010,1,121,128,127,120,5365,42.244,5485,W2_reasoning_always_max_b128_ee97b216b9,NA,42.962,43.377,61.1,63.8,0,true,10000,true,none,,100,100,true,true,128,false,NA
w2_010_always_max_b128_r1_d20000,2026-07-19T12:37:13+08:00,2026-07-19T12:37:20+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq249_budget128_temp0.0,gsm8k,w2_010,1,121,128,127,120,5365,42.244,5485,W2_reasoning_always_max_b128_ee97b216b9,NA,42.962,43.377,61.1,63.8,0,true,20000,true,none,,100,100,true,true,128,false,NA
w2_010_always_max_b128_r1_d30000,2026-07-19T12:37:13+08:00,2026-07-19T12:37:20+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq249_budget128_temp0.0,gsm8k,w2_010,1,121,128,127,120,5365,42.244,5485,W2_reasoning_always_max_b128_ee97b216b9,NA,42.962,43.377,61.1,63.8,0,true,30000,true,none,,100,100,true,true,128,false,NA
w2_011_always_max_b128_r1_d5000,2026-07-19T12:37:20+08:00,2026-07-19T12:37:28+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq264_budget128_temp0.0,gsm8k,w2_011,1,136,128,127,248,5431,42.764,5679,W2_reasoning_always_max_b128_ee97b216b9,NA,43.39,43.87,63.0,63.8,0,false,5000,false,parse_error,,NA,12,false,false,128,true,NA
w2_011_always_max_b128_r1_d10000,2026-07-19T12:37:20+08:00,2026-07-19T12:37:28+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq264_budget128_temp0.0,gsm8k,w2_011,1,136,128,127,248,5431,42.764,5679,W2_reasoning_always_max_b128_ee97b216b9,NA,43.39,43.87,63.0,63.8,0,false,10000,false,parse_error,,NA,12,false,false,128,true,NA
w2_011_always_max_b128_r1_d20000,2026-07-19T12:37:20+08:00,2026-07-19T12:37:28+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq264_budget128_temp0.0,gsm8k,w2_011,1,136,128,127,248,5431,42.764,5679,W2_reasoning_always_max_b128_ee97b216b9,NA,43.39,43.87,63.0,63.8,0,false,20000,false,parse_error,,NA,12,false,false,128,true,NA
w2_011_always_max_b128_r1_d30000,2026-07-19T12:37:20+08:00,2026-07-19T12:37:28+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq264_budget128_temp0.0,gsm8k,w2_011,1,136,128,127,248,5431,42.764,5679,W2_reasoning_always_max_b128_ee97b216b9,NA,43.39,43.87,63.0,63.8,0,false,30000,false,parse_error,,NA,12,false,false,128,true,NA
w2_012_always_max_b128_r1_d5000,2026-07-19T12:37:28+08:00,2026-07-19T12:37:34+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq261_budget128_temp0.0,gsm8k,w2_012,1,133,128,109,256,4506,41.339,4762,W2_reasoning_always_max_b128_ee97b216b9,NA,43.884,44.381,63.4,66.1,0,true,5000,true,none,,34,34,true,true,128,false,NA
w2_012_always_max_b128_r1_d10000,2026-07-19T12:37:28+08:00,2026-07-19T12:37:34+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq261_budget128_temp0.0,gsm8k,w2_012,1,133,128,109,256,4506,41.339,4762,W2_reasoning_always_max_b128_ee97b216b9,NA,43.884,44.381,63.4,66.1,0,true,10000,true,none,,34,34,true,true,128,false,NA
w2_012_always_max_b128_r1_d20000,2026-07-19T12:37:28+08:00,2026-07-19T12:37:34+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq261_budget128_temp0.0,gsm8k,w2_012,1,133,128,109,256,4506,41.339,4762,W2_reasoning_always_max_b128_ee97b216b9,NA,43.884,44.381,63.4,66.1,0,true,20000,true,none,,34,34,true,true,128,false,NA
w2_012_always_max_b128_r1_d30000,2026-07-19T12:37:28+08:00,2026-07-19T12:37:34+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq261_budget128_temp0.0,gsm8k,w2_012,1,133,128,109,256,4506,41.339,4762,W2_reasoning_always_max_b128_ee97b216b9,NA,43.884,44.381,63.4,66.1,0,true,30000,true,none,,34,34,true,true,128,false,NA
w2_013_always_max_b128_r1_d5000,2026-07-19T12:37:34+08:00,2026-07-19T12:37:41+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq234_budget128_temp0.0,gsm8k,w2_013,1,106,128,127,117,5098,40.142,5215,W2_reasoning_always_max_b128_ee97b216b9,NA,44.401,45.229,65.3,66.9,0,false,5000,false,parse_error,,NA,19,false,false,128,true,NA
